X,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,start_x,school
266,female,NA,bachelor's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,53,59,56,0,2
267,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,10-May,26,48,37,0,2
268,female,group A,bachelor's degree,standard,none,married,NA,no,NA,private,10-May,82,75,87,0,2
269,male,group E,bachelor's degree,standard,none,married,sometimes,yes,1,school_bus,10-May,67,56,50,0,2
271,male,group A,bachelor's degree,standard,none,married,sometimes,yes,1,school_bus,10-May,81,76,77,0,2
272,male,group E,some college,free/reduced,NA,married,regularly,no,2,private,> 10,89,81,77,0,2
273,male,NA,some college,free/reduced,none,single,sometimes,yes,2,private,< 5,71,73,68,0,2
274,male,group C,bachelor's degree,standard,none,married,regularly,yes,0,school_bus,10-May,83,74,74,0,2
275,female,group B,associate's degree,free/reduced,completed,married,sometimes,yes,0,private,10-May,29,49,50,0,2
276,female,group B,bachelor's degree,standard,none,married,regularly,yes,1,private,10-May,74,85,80,0,2
277,female,group B,some college,standard,none,married,regularly,no,3,school_bus,> 10,73,77,75,0,2
278,male,group D,bachelor's degree,standard,completed,divorced,sometimes,no,1,school_bus,< 5,95,93,91,0,2
279,female,group B,some college,free/reduced,none,single,sometimes,yes,1,private,< 5,36,46,43,0,2
280,male,group C,high school,free/reduced,completed,single,regularly,yes,1,school_bus,> 10,57,53,52,0,2
281,male,group C,associate's degree,standard,none,divorced,sometimes,no,3,private,10-May,85,76,75,0,2
282,female,group A,some college,standard,none,single,regularly,yes,3,school_bus,< 5,77,79,82,0,2
283,male,group A,some college,standard,completed,married,regularly,no,4,school_bus,10-May,86,72,77,0,2
284,female,group E,some college,standard,none,divorced,regularly,yes,4,private,10-May,86,83,89,0,2
285,male,group C,master's degree,free/reduced,none,married,regularly,no,2,private,> 10,65,63,66,0,2
286,female,group C,some high school,free/reduced,none,married,sometimes,no,3,school_bus,> 10,53,66,58,0,2
287,male,group D,NA,standard,completed,married,regularly,no,4,school_bus,< 5,78,76,72,0,2
288,female,group B,NA,standard,none,married,never,yes,3,school_bus,10-May,55,71,73,0,2
289,male,group B,some high school,standard,completed,single,never,no,2,private,< 5,54,56,57,0,2
290,female,group A,some high school,standard,none,married,NA,no,1,school_bus,10-May,52,55,57,0,2
291,male,group D,master's degree,standard,NA,married,regularly,NA,4,school_bus,> 10,82,86,84,0,2
292,female,group C,bachelor's degree,standard,completed,divorced,regularly,yes,0,private,10-May,52,73,68,0,2
293,male,group D,bachelor's degree,free/reduced,completed,single,regularly,yes,1,NA,NA,78,69,67,0,2
294,female,group D,NA,free/reduced,none,married,regularly,no,5,private,10-May,57,72,66,0,2
295,female,group A,some high school,free/reduced,completed,single,sometimes,yes,0,school_bus,> 10,59,81,79,0,2
296,female,group D,associate's degree,free/reduced,none,single,never,no,2,private,10-May,62,74,73,0,2
297,female,group E,some college,standard,none,widowed,NA,yes,NA,school_bus,10-May,80,79,79,0,2
298,male,group C,associate's degree,free/reduced,none,single,regularly,no,2,NA,10-May,51,48,46,0,2
299,male,group B,some college,free/reduced,completed,single,sometimes,yes,1,school_bus,10-May,45,44,51,0,2
300,male,group B,some high school,standard,completed,married,sometimes,yes,3,private,10-May,74,67,69,0,2
301,male,NA,master's degree,free/reduced,none,single,sometimes,yes,2,private,> 10,72,69,70,0,2
302,female,group C,master's degree,standard,none,married,regularly,yes,3,NA,> 10,60,72,66,0,2
304,female,group C,bachelor's degree,standard,none,married,sometimes,no,1,private,< 5,70,77,76,0,2
305,male,group C,bachelor's degree,free/reduced,completed,single,regularly,yes,0,private,10-May,63,61,62,0,2
306,male,group B,some high school,free/reduced,none,single,regularly,no,1,NA,10-May,42,48,38,0,2
307,female,group C,some college,standard,none,single,regularly,no,3,private,> 10,38,48,50,0,2
308,female,NA,some college,standard,none,single,NA,yes,3,school_bus,< 5,61,66,68,0,2
309,female,group E,some high school,free/reduced,none,married,sometimes,no,2,school_bus,10-May,48,61,49,0,2
310,male,group B,high school,standard,none,married,sometimes,yes,0,school_bus,10-May,71,65,63,0,2
311,male,group C,some college,free/reduced,completed,NA,regularly,no,2,NA,10-May,58,63,60,0,2
312,male,group E,some high school,free/reduced,none,single,never,yes,2,NA,NA,64,52,52,0,2
313,female,group C,NA,standard,none,single,regularly,yes,3,private,< 5,44,57,53,0,2
314,male,group C,some high school,standard,none,married,sometimes,no,3,private,> 10,57,47,44,0,2
315,male,NA,master's degree,standard,none,single,sometimes,yes,4,NA,< 5,81,60,54,0,2
316,female,group D,associate's degree,standard,none,married,regularly,yes,0,school_bus,< 5,74,80,82,0,2
317,female,NA,some high school,free/reduced,none,married,regularly,no,1,NA,10-May,49,56,57,0,2
318,female,group E,bachelor's degree,standard,none,married,sometimes,no,4,private,10-May,91,91,92,0,2
319,male,group E,associate's degree,standard,completed,divorced,sometimes,yes,1,school_bus,10-May,76,65,66,0,2
320,female,group C,associate's degree,free/reduced,completed,married,sometimes,yes,1,school_bus,< 5,46,67,62,0,2
321,male,group C,some college,standard,completed,married,sometimes,yes,3,private,10-May,45,46,42,0,2
322,female,group B,some college,standard,NA,married,regularly,yes,5,school_bus,< 5,26,40,38,0,2
323,male,group C,high school,standard,none,married,regularly,no,2,private,10-May,63,55,54,0,2
324,female,group C,bachelor's degree,free/reduced,none,married,regularly,no,3,school_bus,10-May,49,65,61,0,2
325,male,NA,some college,standard,none,single,never,yes,2,school_bus,< 5,63,58,58,0,2
326,male,group B,some college,standard,completed,married,sometimes,yes,0,school_bus,< 5,64,63,54,0,2
328,female,group D,some high school,standard,completed,married,regularly,NA,3,NA,> 10,55,50,56,0,2
329,male,group B,some college,free/reduced,completed,married,never,no,1,private,< 5,51,61,59,0,2
330,male,group C,associate's degree,standard,none,married,sometimes,yes,1,private,10-May,82,70,70,0,2
331,female,group B,master's degree,standard,completed,divorced,sometimes,yes,0,school_bus,< 5,65,82,83,0,2
332,female,group C,associate's degree,free/reduced,completed,divorced,sometimes,yes,2,private,10-May,64,96,91,0,2
333,male,NA,master's degree,standard,completed,married,never,yes,1,school_bus,10-May,86,83,86,0,2
334,female,group D,bachelor's degree,standard,none,married,sometimes,NA,3,school_bus,< 5,74,80,79,0,2
335,male,group D,master's degree,standard,completed,divorced,regularly,NA,5,school_bus,10-May,71,66,74,0,2
336,male,group C,bachelor's degree,standard,completed,single,sometimes,yes,3,school_bus,10-May,75,75,72,0,2
337,male,group E,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,99,83,81,0,2
338,male,group B,associate's degree,standard,completed,married,NA,no,5,school_bus,> 10,44,49,46,0,2
339,male,group C,bachelor's degree,standard,none,single,sometimes,yes,1,private,10-May,69,69,63,0,2
340,female,group A,master's degree,standard,none,married,never,yes,2,private,< 5,76,92,93,0,2
341,male,group C,bachelor's degree,standard,none,married,regularly,no,1,school_bus,10-May,77,71,71,0,2
342,female,group B,bachelor's degree,free/reduced,none,divorced,sometimes,yes,3,school_bus,10-May,59,72,75,0,2
343,female,group B,associate's degree,standard,none,married,sometimes,NA,3,school_bus,10-May,45,53,49,0,2
344,male,group D,high school,standard,NA,married,NA,no,NA,school_bus,10-May,63,52,48,0,2
345,male,group C,some college,free/reduced,none,single,sometimes,yes,1,private,10-May,63,65,55,0,2
346,male,group C,some college,free/reduced,none,married,sometimes,no,6,NA,10-May,61,48,47,0,2
347,female,NA,some high school,free/reduced,NA,married,sometimes,yes,1,private,< 5,70,81,80,0,2
348,male,group C,master's degree,free/reduced,none,divorced,regularly,no,2,private,< 5,75,79,72,0,2
349,male,group E,NA,standard,completed,NA,sometimes,yes,2,NA,10-May,90,83,84,0,2
350,male,group D,bachelor's degree,free/reduced,completed,divorced,sometimes,yes,5,private,10-May,72,74,80,0,2
351,female,group A,some college,free/reduced,none,married,sometimes,no,NA,school_bus,> 10,44,61,53,0,2
352,male,group B,master's degree,standard,none,married,sometimes,yes,0,private,> 10,87,77,72,0,2
353,male,group B,some college,free/reduced,completed,divorced,sometimes,yes,2,school_bus,10-May,55,52,54,0,2
354,female,group D,high school,free/reduced,none,married,regularly,yes,2,school_bus,< 5,70,81,85,0,2
355,female,group B,master's degree,free/reduced,completed,divorced,sometimes,yes,2,school_bus,> 10,66,91,87,0,2
356,female,group E,high school,free/reduced,completed,divorced,regularly,yes,1,private,> 10,72,88,84,0,2
357,male,group A,some college,standard,completed,divorced,never,yes,0,school_bus,< 5,57,61,58,0,2
358,female,group B,some college,free/reduced,none,divorced,never,yes,3,school_bus,10-May,64,67,58,0,2
359,male,group D,some college,standard,none,divorced,regularly,yes,1,school_bus,10-May,84,75,79,0,2
360,male,group B,some college,standard,none,married,sometimes,yes,0,private,> 10,93,84,78,0,2
361,female,group E,associate's degree,free/reduced,completed,divorced,regularly,yes,5,NA,10-May,57,71,73,0,2
362,female,group C,some college,standard,completed,married,regularly,no,1,school_bus,< 5,86,86,92,0,2
363,female,group B,some high school,free/reduced,none,divorced,regularly,no,1,school_bus,10-May,57,73,68,0,2
364,male,group D,master's degree,free/reduced,completed,single,sometimes,yes,1,school_bus,< 5,66,69,70,0,2
365,male,group D,high school,free/reduced,none,divorced,sometimes,yes,0,NA,10-May,52,40,46,0,2
366,female,group E,associate's degree,standard,none,married,never,no,3,school_bus,< 5,79,80,81,0,2
367,male,group E,high school,standard,none,married,sometimes,yes,2,school_bus,10-May,83,80,74,0,2
368,female,group B,high school,free/reduced,none,divorced,sometimes,yes,1,private,10-May,23,31,29,0,2
369,male,group C,master's degree,free/reduced,none,married,regularly,no,3,school_bus,10-May,65,69,64,0,2
370,female,group D,some college,free/reduced,none,divorced,sometimes,yes,2,private,> 10,63,73,73,0,2
371,female,group E,some high school,standard,completed,married,sometimes,no,2,private,> 10,80,95,93,0,2
372,female,NA,some high school,free/reduced,none,married,sometimes,yes,0,private,< 5,70,74,71,0,2
373,female,group D,some high school,free/reduced,none,single,regularly,yes,0,NA,< 5,78,79,79,0,2
374,male,group C,bachelor's degree,free/reduced,completed,divorced,regularly,yes,5,school_bus,> 10,95,92,90,0,2
375,male,group B,master's degree,free/reduced,none,married,regularly,no,2,private,< 5,51,56,53,0,2
376,female,group E,high school,standard,completed,divorced,sometimes,no,NA,school_bus,10-May,100,100,100,0,2
377,female,group C,some college,standard,none,single,never,yes,2,school_bus,< 5,53,54,59,0,2
378,female,group E,bachelor's degree,standard,none,married,regularly,yes,4,private,10-May,79,81,85,0,2
379,male,group E,high school,standard,none,married,sometimes,no,3,school_bus,10-May,53,57,48,0,2
380,male,group D,master's degree,standard,none,single,sometimes,yes,1,school_bus,> 10,75,71,78,0,2
381,male,group B,some high school,standard,none,single,never,yes,1,school_bus,< 5,67,73,67,0,2
382,male,group C,some college,standard,completed,married,sometimes,yes,1,NA,< 5,81,77,82,0,2
383,female,group B,some college,standard,none,single,regularly,yes,NA,school_bus,10-May,96,89,93,0,2
384,male,group D,some college,standard,none,NA,regularly,yes,3,private,< 5,96,84,91,0,2
385,male,group E,some college,standard,none,married,regularly,no,2,NA,10-May,66,53,50,0,2
386,male,group C,some high school,standard,completed,divorced,never,no,3,private,> 10,85,74,78,0,2
387,male,group C,some high school,free/reduced,none,married,sometimes,NA,2,NA,10-May,47,46,48,0,2
388,male,group D,high school,standard,completed,married,regularly,yes,4,private,10-May,80,72,73,0,2
389,male,group D,some college,standard,completed,married,never,NA,1,school_bus,10-May,62,58,62,0,2
390,male,group D,high school,free/reduced,none,divorced,sometimes,yes,4,NA,10-May,83,83,75,0,2
391,male,group C,NA,free/reduced,none,divorced,regularly,yes,2,school_bus,< 5,57,60,52,0,2
392,male,group E,some college,free/reduced,none,married,sometimes,no,3,school_bus,10-May,90,80,81,0,2
393,male,group B,bachelor's degree,standard,NA,married,never,yes,0,school_bus,10-May,71,70,74,0,2
394,male,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,< 5,87,77,80,0,2
395,male,group C,some college,standard,none,single,sometimes,no,7,school_bus,10-May,79,74,71,0,2
396,female,group D,NA,standard,none,NA,sometimes,yes,NA,private,10-May,86,88,93,0,2
397,male,group D,master's degree,free/reduced,none,divorced,regularly,yes,1,private,< 5,52,65,69,0,2
398,male,group C,associate's degree,standard,none,married,sometimes,yes,3,private,> 10,75,68,73,0,2
399,female,group D,associate's degree,standard,none,married,sometimes,yes,0,private,< 5,65,80,79,0,2
400,male,group D,NA,standard,completed,married,sometimes,yes,2,school_bus,10-May,73,68,72,0,2
401,female,group C,NA,standard,none,divorced,regularly,yes,2,private,10-May,41,32,33,0,2
402,male,group D,associate's degree,free/reduced,none,widowed,sometimes,no,2,private,NA,70,59,57,0,2
403,male,group C,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,57,50,49,0,2
404,female,group D,bachelor's degree,free/reduced,completed,married,regularly,yes,1,private,10-May,64,78,78,0,2
405,female,group C,some high school,standard,none,married,sometimes,no,4,school_bus,> 10,51,63,65,0,2
406,female,group E,associate's degree,free/reduced,none,married,regularly,yes,1,school_bus,> 10,63,81,66,0,2
407,female,group D,some high school,standard,none,married,regularly,no,3,school_bus,> 10,72,84,81,0,2
408,male,group C,associate's degree,standard,none,married,never,no,3,school_bus,< 5,62,58,51,0,2
409,male,group E,associate's degree,free/reduced,none,married,regularly,yes,2,NA,> 10,55,58,58,0,2
410,male,group C,some college,standard,none,widowed,sometimes,yes,1,school_bus,10-May,53,45,44,0,2
411,female,group C,master's degree,standard,none,widowed,sometimes,no,3,school_bus,10-May,74,77,83,0,2
412,female,group D,master's degree,free/reduced,completed,married,regularly,yes,2,private,10-May,76,85,89,0,2
413,male,group D,some college,free/reduced,none,single,regularly,yes,6,private,10-May,52,48,49,0,2
414,male,group D,some high school,free/reduced,completed,married,sometimes,yes,0,school_bus,10-May,42,26,32,0,2
415,male,group B,high school,standard,none,married,sometimes,no,2,private,< 5,38,23,27,0,2
416,male,group D,master's degree,standard,completed,divorced,sometimes,yes,3,private,> 10,100,99,100,0,2
417,male,NA,associate's degree,standard,none,single,regularly,yes,0,NA,10-May,58,55,47,0,2
418,male,group D,some high school,free/reduced,completed,divorced,regularly,yes,3,school_bus,10-May,46,51,52,0,2
419,female,group A,some college,standard,none,married,sometimes,yes,0,private,> 10,55,62,56,0,2
420,male,group D,associate's degree,standard,none,married,regularly,yes,5,private,10-May,71,68,64,0,2
421,male,group D,master's degree,standard,none,NA,sometimes,yes,1,school_bus,10-May,67,66,65,0,2
422,female,group E,high school,standard,none,married,regularly,no,1,school_bus,10-May,30,47,42,0,2
423,female,group D,bachelor's degree,free/reduced,none,married,sometimes,no,2,private,10-May,68,69,75,0,2
424,male,group C,NA,standard,none,married,regularly,yes,4,school_bus,NA,73,58,60,0,2
425,male,group A,associate's degree,free/reduced,none,married,regularly,no,3,private,< 5,40,42,38,0,2
426,female,group C,high school,standard,none,married,never,yes,2,private,< 5,54,65,62,0,2
427,female,group D,high school,standard,none,married,sometimes,yes,7,private,10-May,62,75,70,0,2
428,male,group D,associate's degree,standard,none,widowed,regularly,yes,1,school_bus,> 10,75,73,67,0,2
429,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,1,school_bus,< 5,45,37,38,0,2
430,male,group D,associate's degree,standard,completed,divorced,sometimes,no,2,private,> 10,49,51,57,0,2
431,male,group B,some college,free/reduced,completed,divorced,sometimes,yes,2,private,10-May,80,85,80,0,2
433,male,group E,some high school,free/reduced,none,divorced,sometimes,no,3,school_bus,> 10,47,49,46,0,2
434,male,group C,associate's degree,standard,none,married,never,yes,3,private,10-May,64,53,54,0,2
436,male,group A,high school,standard,completed,married,sometimes,NA,0,NA,10-May,62,57,55,0,2
437,female,group C,bachelor's degree,standard,completed,single,sometimes,no,1,school_bus,10-May,77,82,85,0,2
438,female,group C,some college,standard,none,married,sometimes,no,4,school_bus,10-May,79,88,78,0,2
440,male,group A,some college,free/reduced,none,single,sometimes,yes,5,NA,10-May,47,40,35,0,2
442,female,group C,associate's degree,standard,completed,married,sometimes,yes,NA,NA,< 5,79,85,86,0,2
443,male,group B,high school,free/reduced,none,single,sometimes,no,1,school_bus,10-May,45,43,33,0,2
445,male,group E,bachelor's degree,standard,none,single,regularly,yes,1,NA,10-May,96,90,83,0,2
446,female,group C,some college,standard,none,married,never,yes,2,private,10-May,63,66,64,0,2
447,female,group C,high school,free/reduced,completed,divorced,never,no,3,school_bus,10-May,64,80,82,0,2
448,female,group B,some college,standard,NA,divorced,regularly,yes,4,school_bus,> 10,57,65,69,0,2
449,female,group D,some college,standard,none,divorced,regularly,yes,3,school_bus,10-May,100,95,97,0,2
450,female,group D,some college,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,55,64,65,0,2
451,female,group D,some high school,standard,completed,married,sometimes,yes,NA,private,10-May,61,76,77,0,2
453,female,group A,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,10-May,62,74,76,0,2
454,female,group C,high school,standard,completed,married,regularly,yes,1,school_bus,> 10,97,98,100,0,2
455,female,NA,associate's degree,free/reduced,none,divorced,sometimes,yes,3,private,10-May,65,70,75,0,2
456,female,group B,some college,free/reduced,none,single,sometimes,no,2,private,NA,57,68,74,0,2
457,male,group B,high school,standard,completed,single,sometimes,NA,1,private,10-May,60,55,56,0,2
458,male,group E,associate's degree,free/reduced,none,married,sometimes,NA,1,school_bus,< 5,85,68,63,0,2
459,male,group C,some high school,standard,completed,married,regularly,no,2,school_bus,> 10,73,72,69,0,2
460,female,group C,NA,standard,none,widowed,sometimes,yes,6,private,> 10,64,66,72,0,2
461,female,group A,bachelor's degree,standard,completed,NA,regularly,no,2,school_bus,10-May,67,80,88,0,2
462,male,group C,NA,standard,NA,married,regularly,no,1,NA,10-May,75,62,65,0,2
463,female,group B,associate's degree,standard,completed,married,regularly,yes,4,school_bus,10-May,90,100,100,0,2
464,female,NA,associate's degree,standard,none,divorced,never,no,5,school_bus,10-May,68,83,72,0,2
465,female,group D,some high school,standard,completed,married,sometimes,no,1,private,< 5,85,97,98,0,2
466,male,group C,associate's degree,standard,none,single,sometimes,yes,0,NA,10-May,88,74,70,0,2
467,female,group D,bachelor's degree,standard,none,married,regularly,yes,2,school_bus,10-May,80,79,89,0,2
468,female,group D,high school,free/reduced,none,married,never,yes,NA,NA,> 10,34,39,34,0,2
469,male,group B,some college,standard,none,single,sometimes,yes,4,school_bus,10-May,42,40,37,0,2
470,male,group B,high school,free/reduced,none,divorced,regularly,yes,1,NA,10-May,73,77,72,0,2
471,female,group B,associate's degree,standard,completed,single,sometimes,yes,0,school_bus,10-May,42,58,56,0,2
472,female,NA,associate's degree,standard,none,married,never,yes,2,school_bus,< 5,74,85,79,0,2
473,female,group C,high school,standard,completed,married,regularly,yes,5,NA,< 5,89,99,98,0,2
474,female,group D,high school,standard,none,married,sometimes,yes,4,private,10-May,66,59,64,0,2
475,female,group A,associate's degree,standard,none,single,regularly,yes,NA,school_bus,< 5,61,65,66,0,2
477,male,group A,some high school,free/reduced,none,divorced,regularly,yes,1,school_bus,10-May,54,54,48,0,2
478,female,group C,some college,standard,completed,married,regularly,no,3,private,NA,74,89,85,0,2
479,female,group B,some college,free/reduced,none,married,regularly,NA,4,private,10-May,76,82,78,0,2
480,female,NA,associate's degree,standard,none,single,regularly,no,1,private,10-May,91,94,95,0,2
481,male,group B,some high school,standard,none,married,sometimes,no,4,school_bus,> 10,60,60,51,0,2
482,male,group E,bachelor's degree,free/reduced,completed,married,never,yes,1,private,10-May,66,65,58,0,2
483,male,group C,associate's degree,standard,completed,single,sometimes,no,2,school_bus,10-May,73,68,72,0,2
484,female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,> 10,83,99,97,0,2
485,male,group B,some high school,standard,none,married,sometimes,yes,0,school_bus,10-May,67,57,53,0,2
486,male,group B,some college,free/reduced,NA,widowed,never,yes,3,NA,10-May,58,59,49,0,2
487,male,group C,some college,standard,none,married,sometimes,yes,1,private,10-May,74,67,67,0,2
488,male,group C,associate's degree,free/reduced,completed,married,sometimes,no,NA,private,< 5,65,60,59,0,2
489,female,group B,some high school,standard,completed,divorced,sometimes,no,3,private,> 10,79,89,90,0,2
490,female,group E,some college,standard,completed,married,regularly,no,NA,private,10-May,90,93,100,0,2
491,female,group B,bachelor's degree,standard,none,single,regularly,yes,5,school_bus,> 10,48,66,66,0,2
492,female,group D,bachelor's degree,standard,none,divorced,regularly,yes,1,school_bus,< 5,79,84,94,0,2
493,female,group C,master's degree,standard,none,married,sometimes,yes,3,school_bus,> 10,77,89,87,0,2
494,female,group C,associate's degree,free/reduced,completed,married,regularly,yes,2,school_bus,< 5,58,62,66,0,2
495,female,NA,high school,standard,none,NA,regularly,yes,0,private,10-May,69,76,72,0,2
496,male,group B,associate's degree,free/reduced,completed,married,regularly,no,2,private,> 10,53,56,52,0,2
497,male,group B,high school,free/reduced,none,married,sometimes,yes,2,school_bus,< 5,60,64,52,0,2
498,female,group C,some high school,free/reduced,completed,divorced,sometimes,yes,0,private,10-May,61,71,73,0,2
499,male,group D,associate's degree,standard,completed,divorced,NA,no,3,school_bus,< 5,71,66,71,0,2
500,male,group D,high school,free/reduced,none,married,never,yes,2,school_bus,< 5,63,58,50,0,2
501,female,group D,some high school,standard,none,married,sometimes,yes,1,private,10-May,48,52,47,0,2
502,female,group D,some high school,free/reduced,completed,widowed,regularly,yes,2,private,10-May,54,68,69,0,2
503,female,group E,associate's degree,standard,none,married,sometimes,no,4,school_bus,10-May,90,91,88,0,2
504,male,group E,some high school,standard,completed,married,regularly,yes,4,school_bus,10-May,74,79,74,0,2
505,male,group C,some college,standard,none,single,sometimes,yes,NA,NA,10-May,73,79,74,0,2
506,male,group C,associate's degree,standard,completed,married,sometimes,no,2,school_bus,> 10,66,64,65,0,2
507,female,group B,bachelor's degree,standard,none,married,never,no,3,school_bus,10-May,74,74,78,0,2
508,male,group C,high school,free/reduced,none,NA,regularly,yes,3,school_bus,10-May,32,42,41,0,2
509,female,NA,high school,free/reduced,completed,married,sometimes,yes,1,school_bus,< 5,82,83,88,0,2
510,female,group C,some college,standard,none,married,never,yes,2,school_bus,> 10,55,60,60,0,2
511,male,group B,some college,free/reduced,NA,married,regularly,yes,NA,school_bus,10-May,76,69,64,0,2
512,male,group C,some high school,standard,completed,married,sometimes,yes,2,school_bus,> 10,73,73,78,0,2
514,male,group C,some college,free/reduced,completed,single,regularly,no,2,school_bus,< 5,70,78,71,0,2
515,female,group B,NA,standard,completed,married,sometimes,no,2,private,10-May,53,62,67,0,2
516,male,group C,some college,standard,completed,married,sometimes,no,1,NA,10-May,94,85,87,0,2
517,female,group E,bachelor's degree,standard,NA,married,sometimes,no,6,school_bus,< 5,72,80,78,0,2
518,male,group E,some college,standard,NA,divorced,sometimes,yes,4,school_bus,10-May,64,62,57,0,2
519,male,group E,some high school,standard,completed,married,regularly,no,1,school_bus,< 5,86,81,77,0,2
520,female,group A,associate's degree,standard,NA,married,regularly,yes,1,NA,< 5,67,79,81,0,2
521,female,group C,some high school,standard,none,single,sometimes,yes,0,private,10-May,57,62,63,0,2
522,male,group B,some high school,free/reduced,none,single,regularly,no,3,NA,10-May,46,56,50,0,2
523,female,group B,some college,free/reduced,none,married,sometimes,yes,4,school_bus,10-May,60,73,68,0,2
524,female,group D,high school,standard,completed,married,regularly,yes,0,private,10-May,71,68,71,0,2
525,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,1,school_bus,10-May,78,89,81,0,2
526,female,group C,some college,free/reduced,none,married,sometimes,yes,NA,private,10-May,36,45,42,0,2
527,female,group D,some college,free/reduced,none,NA,sometimes,yes,1,private,10-May,57,71,62,0,2
528,female,group C,some college,standard,none,married,sometimes,yes,0,school_bus,< 5,80,88,85,0,2
529,female,group C,some high school,free/reduced,completed,single,sometimes,yes,2,school_bus,< 5,54,60,57,0,2
530,male,group B,some college,standard,completed,married,sometimes,yes,2,NA,> 10,65,63,58,0,2
531,female,group B,high school,standard,completed,married,sometimes,yes,0,school_bus,10-May,64,78,75,0,2
533,female,NA,associate's degree,standard,completed,married,sometimes,no,NA,school_bus,10-May,84,84,89,0,2
534,female,group C,bachelor's degree,free/reduced,none,married,sometimes,no,2,private,> 10,52,55,57,0,2
535,female,group B,high school,free/reduced,NA,married,sometimes,no,2,private,10-May,60,72,66,0,2
536,male,group B,bachelor's degree,free/reduced,none,single,NA,yes,0,school_bus,10-May,68,60,58,0,2
537,female,group A,some high school,standard,completed,divorced,regularly,no,1,NA,10-May,41,51,56,0,2
538,female,NA,bachelor's degree,free/reduced,none,married,sometimes,yes,1,private,> 10,70,65,70,0,2
539,male,group E,some college,standard,none,married,sometimes,no,2,school_bus,< 5,80,62,63,0,2
540,female,group D,some high school,standard,none,divorced,sometimes,no,2,private,10-May,78,70,78,0,2
542,female,group C,some high school,standard,none,single,sometimes,yes,3,private,10-May,52,62,60,0,2
543,male,group E,some high school,standard,none,married,sometimes,no,1,school_bus,> 10,60,50,45,0,2
544,male,group E,some high school,free/reduced,none,married,never,no,NA,private,< 5,60,61,54,0,2
545,female,group C,high school,standard,completed,married,regularly,yes,7,private,10-May,60,70,73,0,2
546,female,group A,associate's degree,standard,none,single,sometimes,yes,2,private,10-May,49,57,57,0,2
547,female,group C,some college,standard,completed,single,regularly,yes,7,school_bus,> 10,90,100,100,0,2
548,female,group C,high school,standard,none,divorced,never,yes,4,school_bus,< 5,70,78,76,0,2
549,female,group E,associate's degree,standard,completed,married,sometimes,no,2,school_bus,< 5,81,86,84,0,2
550,male,group B,high school,standard,none,married,never,no,3,school_bus,10-May,43,44,43,0,2
551,male,group A,high school,standard,none,single,regularly,yes,1,school_bus,< 5,60,51,54,0,2
552,male,group E,NA,free/reduced,completed,single,regularly,yes,1,school_bus,10-May,100,96,91,0,2
553,male,group D,some high school,free/reduced,completed,single,sometimes,no,2,school_bus,< 5,77,70,68,0,2
554,female,group C,bachelor's degree,free/reduced,completed,widowed,sometimes,no,2,private,> 10,84,96,98,0,2
555,male,group B,some high school,standard,completed,married,regularly,yes,5,school_bus,10-May,70,67,65,0,2
556,female,group C,some high school,free/reduced,none,NA,never,yes,4,private,> 10,52,70,65,0,2
557,male,group B,associate's degree,standard,none,divorced,sometimes,no,3,school_bus,10-May,79,75,70,0,2
559,female,group D,high school,standard,completed,married,sometimes,yes,5,school_bus,> 10,92,92,99,0,2
560,male,group C,NA,free/reduced,none,divorced,NA,yes,0,NA,> 10,49,40,38,0,2
561,female,group D,some college,standard,none,single,never,no,2,school_bus,10-May,68,76,79,0,2
562,female,group E,high school,standard,none,single,sometimes,yes,NA,school_bus,10-May,100,98,92,0,2
563,female,NA,associate's degree,standard,completed,married,regularly,no,7,private,10-May,67,82,82,0,2
564,female,group E,associate's degree,free/reduced,NA,married,regularly,yes,3,school_bus,> 10,85,86,93,0,2
565,female,group C,high school,free/reduced,none,divorced,regularly,no,1,school_bus,10-May,52,68,66,0,2
566,male,group B,some high school,free/reduced,none,single,sometimes,yes,1,private,> 10,30,21,17,0,2
567,female,group E,some college,standard,none,divorced,sometimes,no,5,school_bus,< 5,89,95,90,0,2
568,female,group C,some college,standard,none,married,regularly,no,2,private,< 5,53,55,54,0,2
569,female,group D,some high school,free/reduced,none,married,sometimes,yes,3,private,10-May,44,45,52,0,2
570,male,group A,high school,standard,none,single,sometimes,yes,1,school_bus,10-May,61,65,54,0,2
571,female,group E,associate's degree,standard,completed,divorced,sometimes,yes,3,school_bus,< 5,95,98,98,0,2
572,female,group C,associate's degree,standard,none,single,sometimes,no,4,school_bus,< 5,64,75,69,0,2
573,male,group B,some college,free/reduced,none,single,sometimes,no,2,private,10-May,49,61,49,0,2
